id,text,used
1,寝る前に考えてしまうのは昨日のあの瞬間の表情だったり、何気ない会話の中で見せた笑顔だったり、そんな些細な記憶が頭から離れなくて眠れなくなる。好きな人のことを考えすぎて朝になってることもあるし、夢の中でも会いたくて仕方ないから結局24時間その人のことで頭がいっぱいになってる自分がいて、これが恋なんだなって改めて実感してる,False
2,セックスの後に無言で髪を撫でてくれる瞬間が一番愛を感じる。言葉なんていらないし、ただその手の温もりだけで十分伝わってくるものがあって、この人といられることの幸せを噛み締めながら眠りにつく時間が何よりも大切。そういう優しさを自然に見せてくれる人と一緒にいたいし、そういう関係を築ける相手を見つけられた人は本当に幸せだと思う,True
3,おっぱい揉まれながら「綺麗だね」って言われるとエストロゲンが爆発的に分泌されて肌も髪も艶々になるし、なぜか次の日の朝の目覚めが異常に良くなる。科学的根拠はないけど体感として間違いなく美容効果あるし、愛されてる実感が女性ホルモンを活性化させるんだと勝手に思ってる。だから好きな人には積極的に触れてもらいたいし、それが一番の美容法,False
4,付き合って3ヶ月経っても毎日「可愛い」って言ってくれる彼氏は国宝級。慣れてくると言葉が減る男性が多い中で、変わらず愛情表現してくれる人は本当に貴重だし、そういう人と出会えたら絶対に手放しちゃダメ。言葉にしてくれることの大切さを理解してる男性は、きっと他の面でも女性の気持ちを理解しようとしてくれるはず,False
5,浮気する男の特徴として、やたら女友達が多いとか飲み会好きとかあるけど、一番の特徴は「俺のこと信じてくれないの？」って言葉を使うこと。信頼を盾にして疑うことを悪いことだと思わせようとする男は100%何か隠してるし、本当に信頼できる男性はそんな言葉使わなくても行動で証明してくれる。言葉じゃなくて行動を見ろ,False
6,セックス中に相手の目を見つめ続けられる関係が最強。恥ずかしさを超えた先にある深い繋がりを感じられるし、お互いの感情が全部見えるような気がして、体だけじゃなく心まで繋がってる感覚になる。そういう相手と出会えることは奇跡に近いし、見つけたら絶対に大切にしなきゃいけない。目を合わせられない相手とは所詮その程度の関係,True
7,生理の時に「大丈夫？何か買ってこようか？」って自然に聞いてくれる男性と結婚したほうがいい。女性の辛さを理解しようとする姿勢があるかどうかで将来の幸せ度が全然違うし、妊娠した時も出産した時も、そういう優しさを持ってる人じゃないと一緒に乗り越えられない。生理への対応で男性の本質が見えるから要チェック,False
8,恋愛において一番大事なのは「この人じゃなきゃダメ」って思える相手を見つけること。条件とか見た目とかじゃなくて、理屈抜きでその人じゃないと意味がないって思える相手。そういう人と出会えたら多少の困難も乗り越えられるし、お互いを大切にし続けられる。妥協して付き合うくらいなら一人でいた方が100倍マシ,False
9,キスの相性が良い相手とは体の相性も良いって本当だと思う。唇が触れた瞬間に電気が走るような感覚があったり、自然と体が求め合うような関係は、きっと遺伝子レベルで惹かれ合ってるんだと思う。だから初めてのキスで「あ、この人だ」って直感的に分かることがあるし、その直感は大抵当たってる。運命の相手は唇が教えてくれる,True
10,朝起きた時に隣にいてくれるだけで幸せな気持ちになれる相手が本当に好きな人。寝顔を見てるだけで愛おしくて仕方なくなるし、この瞬間がずっと続けばいいのにって思う。そういう穏やかな幸せを感じられる関係が一番長続きするし、ドキドキよりも安心感の方が大事だって年を重ねるごとに実感する。平凡な日常を特別にしてくれる人を選べ,False
