id,text,used
1,寝る前のスキンケアしながら彼氏に電話で「今日も可愛かったよ」って言われた瞬間に化粧水の浸透率が8000倍になる気がするし、翌朝の肌のツヤが違うから結局一番の美容液は愛する人からの言葉なんだよね。高い美容液買うより先に愛されること考えた方が綺麗になれるのずるくない？,False
2,セックスの後にティッシュ渡してくれない男が将来子供のオムツ替えてくれると思う？って話なんだけど、行為の後の対応で将来の父親としての資質が見えるから女の子は絶対にそこで判断した方がいいし、優しくされなかったら即座に別れを考えた方がいい。人生は短いぞ,False
3,「俺のこと好き？」って聞いてくる男に限って私からの「好き」を待ってるだけで自分からは全然言ってこないの本当にダサいから、まず自分から「愛してる」って言えるようになってから質問してこい。愛は先に与えた方が勝ちなんだよ戦え,False
4,おっぱいを大きくする方法なんだけど、鶏肉食べるとかマッサージとかじゃなくて一番効果あるのは好きな人に毎日揉んでもらうことで、愛情込めて触られることで女性ホルモンが爆発的に分泌されて2カップは余裕で上がるから、まずは揉んでくれる相手を見つけることから始めよう,True
5,LINEの返信が3時間以上空く男とは付き合わない方がいいって決めてから恋愛がうまくいくようになったし、返信遅い男ってだいたい他にも女いるか私のこと本気じゃないかのどっちかだから時間無駄にしたくない女子は即ブロックして次行け。時は金なり愛なり,False
6,デート中に元カノの話する男は100%まだ未練あるし、私と比較してるし、なんなら復縁のチャンス狙ってるから速攻で帰っていいよ。タクシー代は向こうに払わせて、家帰ったらブロックして美味しいもの食べて寝ろ。お疲れ様,False
7,生理の時に「大丈夫？」じゃなくて黙ってチョコとホッカイロと痛み止め買ってきてくれる男と結婚したら絶対幸せになれるから、生理の対応で男を見極めろ。「大丈夫？」って聞くだけの男は一生何もしてくれないぞ,False
8,朝起きたら隣で寝てる彼氏の顔が可愛すぎて「この顔独り占めできるの私だけなんだ」って優越感に浸りながら頬っぺたつつくのが幸せすぎて二度寝するんだけど、起きたら「なんで起こしてくれないの」って怒られるのも含めて愛おしい。こういう日常が愛だよね,False
9,セックス中に髪の毛ぐちゃぐちゃになっても「可愛い」って言ってくれる男性と付き合うと自己肯定感爆上がりするし、そういう男は浮気しないし一途だし優しいから見つけたら絶対離すな。顔面偏差値より大事なのは私を可愛いと思ってくれる価値観の一致,True
10,告白されて「考えさせて」って言う人とは付き合わない方がいい。本当に好きなら即答でOKするし、迷う時点であなたは選択肢の一つでしかないから時間の無駄。次行こう次。世界には男が40億人いるんだから1人に固執する必要ない,False
